@.truskawkowa.wojo,I always knock before opening my fridge. There could be a salad dressing,0
@not_infocus,my grandfather is a raging drug addict,0
@kevinavi,leave some milk for daddy,0
@ranzip,"wait, is that really milk?",0
@0.realpain,lebron james,0
@rokic_li,"when you brush your teeth, it's the only time when you wash your skeleton",0
@idiot._.dino147,make a scene where it chases a mouse and the mouse runs away and the cat says 'ill get you next time-',0
@marejcar,Just don't buy fifa,1
@davis__64,Oh my god! they oofed Kenny!,10
@sonikors,ehhhhhhhhhhhhh kenny,10
@sumsargaming,a penquin with a monocle as a villain,10
@kodutu1,medium boss Thor from god of war,11
@crazymanta_2011,giggity,11
@kotorkotor304,aperture science is better than black mesa,11
@._robert_fr,Double it and give it to the next person,11
@threeglaze,joel,11
@beesbuzz321,"A pixel art cat npc that says ""This game is pawsome""",12
@pike2312316,pike,12
@mice,the one piece is real,12
@manblackballs,dig dog big sock fork dock duck,12
@lucek1977,Pchta,12
@Dr.Evil,"I like chicken, I like liver, meow mix meow mix please deliver",12
@SumsarGaming,nyan cat avoid asteroida in soace type stuff and the end reward would be annother catnip,12
@marcellcsuka386,only a spoonfull,12
@smthng,but then all the catnip disapeared...,13
@sebastianfreiberg,Pretty cats notice pretty cats,13
@mundismundis,angry snake with a knife,13
@marcellcsuka386,do any of yall remember scrimbly quest,13
@kajto2tihor,I am the cat king!,13
@SYMBOLS,i love carpet on god,13
@spoconyszczuras,add cs go knife,13
@goku,red bird shooting lasers,14
@roblox. Worm,why am i in ur contacts ? ? ? ?,14
@milternate,Bababoey,14
@swedbank.ee,Add the pokemon diglett,14
@nuudlisupp,Hype for Estonia,14
@papapa parim suviiii,the world is not ready for this........ For me eating catnip,2
@cockoras,this catnip bussin,2
@jokerinsanit,pigeons,2
@tulnukas00,I have no life,2
@romaniavr,"when the cat eats catnip the cat would say ""mmh.. catnip""",2
@wise mistical tree,a tree says: are you over 25 and own a computer... I mean hello long lost animal,3
@blossom_crochet official:,a big dragon dropping smileys to you,3
@;-;,you know kit its not easy to get trough here but im sure you will,4
@brox,make a place when a dog comes there and the cat needs to run to a door to the next level,4
@aiden_pearce_anti_ghaca,what would a wook chuck chuck a wood chuck chuck,4
@terragamer123,can you make the cat use things it finds on the ground as hats?(for exemple a street cone),GLO
@blaaaaah,i love yabujin,5
@tsihvka,my friend took me in a van,5
@not_infocus,my mom beat me with a bat,5
@text your mom this,hey buy something in the game dude,5
@yeahh,next time send me a dm,5
@atusuc66,jo give me some of that catnip,5
@cockoras,legalize anabolic catnip,5
@smthng,meow,5
@SYMBOLS,waffles and pancakes,5
@dr. Doktorkockalovagalovagkocka,ate,5
@genjamal.,potato,5
@<3,paper bag,5
@not_infocus,cheese,5
@heshuks,raining frogs,6
@cezar4all,"if you see this, then idk",7
@acc,a guy who pets u,7
@koko_the_baddy37,I like ur mom,7
@maotsa_adventures,OTTO! NOOOO!!,7
@sidrunihelina,I hate rats,7
@text your mom this,magic john screen protector,8
@adrianzzilie_079,karl bartos sitting at the table eating soup,8
@lil.grandpa2137,timmah,8
@cat_boi_real,Silly car goofy silly goober,8
@rainbow_balls8,Why are you chewing ice cream? It's gum flavored.,8
@bsbdkve,Donuts,8
@swedbank.ee,hapukurgid,9
@ionatanty,south park kenny,9
@3xpireddate,add an afk animation for the cat,VFX
@prioteasaluca,a dog,GLO
@gregorikos,Cat runs out of energy and is slow asf -> changed to snowballs slow player,VFX
@yeahh,Add a squirrel enemy,GLO
@helina253,Make birds shoot exploding eggs,VFX
@alexdusk,Hidden passages in certain levels,VFX
@needlesslylarged,make a level where you don't have to fight a boss if you dont want to,5
@gamerboy3000,Add a toilet easter egg,0
@Alien4ted,A yoo give the cat some milk,GLO
@0utcast,Lots of catnip,GLO
@truthx_,after the cat goes crazy give it some powers,VFX
@razvanxx4,make a whooper easter egg,20
@sebastianfreiberg,"I'll be honest with you, I've never had to pay for anything",23
@beesbuzz321,a sandstorm with limited visibility and blowing wind,16
@sumsargaming,red paint tastes like blue paint,15
@thegostfac,make a dog that thinks he is a cat,16
@beesbuzz321,dog treats that can distract dogs if thrown,16
@riverclan.roleplay1,add an Angel boss. ( like one that loojs like an actual Angel aka an eye and wings or summ),18
@marcellcsuka386,"crazy? I was crazy once. They locked me in a room, a rubber room. A rubber room with rats. The rats made me crazy.",23
@very_inspiring,A dog that the cat meets and becomes friends with,16
@beesbuzz321,"sandstorm, cacti, quicksand, tumbleweed, dust devil",16
@sumsargaming,"cats are like goats if you fry a clock, the pigs can fly",TRA
@marejcar,Add a special food that makes her a dog,16
@adiq.07,Poland,15
@theraelseb,make the cat find a bird called birb that becomes the cats best friend,14
@frog.-.vr_official,the cat transform in lion,VFX
@pirat_kaczka,add bananagun,15
@imgood861,she finds a kitten,12
@gamingresource,cat skins,VFX
@basildeservedbetter,helicopter lizard,17
@qurty1y,make him be able to shoot catnip,VFX
@cooldudedude5,monke,15
@am_gud,please add green mushrooms,14
@sumsargaming,"the toast has lazers. goats are like mushrooms, if you shoot a duck, I'm scared of toasters. ",TRA
@newtadine,secret boss - cthulu,19
@theraelseb,"When I downloaded the game, I quickly realized it was a rage game. ",TRA
@pirat_kaczka,add arcade mashines with games like tetris,12
@complex_wt,Could you add super rare cat named Kitty and it will fall asleep when you're afk too long,12
@basho_,eurotruck simulator 2 or truck,5
@mat.4029,I like staying up late and eating ice cream,TRA
@udris_,Fun fact: You probably eat bugs in your sleep,TRA
@mr3256,add a waifu collection system. ,TRA
@woomg69,can you make a jesus easter egg,18
@trexguninfinity_tm,"add sky and ground, dinosaur as a boss fight.",17
@user34567788643,plane,15
@erickmartin228,Add nissan 240sx,8
@memesforyou1882,a small car skin,VFX
@spy_gaming310,could you make a mechanic where you can obtain a magic dash to get through thin walls and a magic shield for halls with many projectiles. ,17
@tedkaczynskienjoyer23,add basketball people,20
@swedbank.ee,kahur mis annab 2x speed 15sec,17
@chlpaty_pes,Give the cat some cosmetic options,VFX
@magne9740,Transform into a bat,VFX
@_v_vylev,Something with time travel,GLO
@am_gud,Add an onion field,18
@pirat_kaczka,Nuh uh. Get dumped on,TRA
@beesbuzz321,Pro Tip: Don't die. Dev tip: Restarting doesn't count as dying.,TRA
@marcellcsuka386,"Ah shii, here we go again",TRA
@jaziiy,7\ - whatever the duck that means,TRA
@hanakob7,You a big L,TRA
@eggsbenedictinurmom,meow meow meow meow moew meow meow,TRA
@nuudlisupp,Don't give him catnip,TRA
@zynkode.the.femboy,CyberCat is the best religion,TRA
@user34567788643,Pizza without pinapel,TRA
@jagijagii,Tip: Do not forget to breathe,TRA
@k.marcell03,"""First you have to finish"" - Michael Schumacher",TRA
@12pasta,Get a mushroom that temporarily buffs you,14
@spy_gaming310,"A grilled cheese ( uncooked, cooked, explodes when overcooked )",20
@12pasta,random cups of milk that raise your HP,GLO
@rosario.lucisano,a mobster called Frank that gives you extra life when you die ( make it appear on GUI),VFX
@turdtogoal,lots of pee,24
@rodwavedarealest,a big hairy fat dude chasing you and spitting at you as an attack,23
@qqqvqqqv,a titan that chases you,25
@yo2d,"add bosses e.g. a one wielding demon that is fully dark and like 10 feet tall, he positions his sword faced down except when swinging",25
@peko.niaw,roblox bacon hat,20
@addictedtovr,little party hat accesory you can find,20
@mika...idk,"U safed me, why? MONKE",15
@hgjlakksjew,Make a bubble shield for the cat,26
@hgjlakksjew,Make a skin for the cat. A cyber (robot?) skin.,VFX
@beesbuzz321,add leaves as projectiles that will pierce enemies. -> turned into a room with bats that can be pierced,26
@turdtogoal,Ya like reincarnation? cuz you died like ( amount of total deaths ) times?!,TRA
@marcellcsuka386,Spear from hollow knight stuck into ground on dog chase lvl,4
@marcellcsuka386,Marcell wuz here tag in a city,8
@gboii25,"Bruh , my blind granny didnâ€™t restart this much when she was fighting sans",TRA
@beesbuzz321,"in the street map, make the cat enter the sewers and aoid falling into the water to win",GLO
@am_gud,add polish biedronka shop where you can buy overpriced upgrades or one time power ups,20
@thunder.nice,Rainbow that you can travel with,GLO
@bbluop,magic crystal statues,GLO
@tanky.tonk,Add tanks,22
@totally_sebastian,Tax fraud,GLO
@rosario.lucisano,a big wise magic cat that keeps the number of your deaths,GLO
@basho_,Note that says WinRAR or sum,12
@notwalterwhite345,walter (Y),20
@adiq.07,league of legends ( free of interpretation ),23
@coolka_official or @190190190w,"minecraft, cs go, cry of fear",22
@qtfossa,add kittens you can adopt and they follow you around. purely cosmetic,20
@i.hat3.spiders,roblox noob npc that pets the cat,GLO
@thatfuckerontiktok,frog with a huge amount of dynamite strapped to it,8
@bora_idk,easter egg with a bag of chips,21
@i_respect_every0ne,add poland flag,21
@almighygizmo,Stray (the pc game) DVD,23
@spy_gaming310,baguette rocket,GLO
@sumsargaming,a pig boss fight where the pig has a monocle and a top hat and it shoots coins,GLO
@thatfuckerontiktok,kitten mittens as a background store from iasip,GLO
@am_gud,POLSKA GUROM,21
@dan.cc.dio,Please add stands (jojo) jjba,GLO
@turdtogoal,turd enemy or something,23
@pirat_kaczka,flying oak tree that grows potatoes,22
@turdtogoal,yo add a huge toilet,23
@shkaff_228,magical stick that spawns a random object,GLO
@thatfuckerontiktok,how about a terminator cat,GLO
@imgood861,Do something like the spiderman meme 3 cats point at Itchader at the end of the game or level,GLO
@beesbuzz321,"In the top of the first levels, a bee that says: ""I can't find my hive. Only heard something about a cat, something cyber.""",GLO
@frog_vr,Put a jojo Reference or a fnaf Reference,GLO
@oralbutsex,"you forget a thousand things every day, make suri this isn't one of them",GLO
@marcellcsuka386,pussy game 2,GLO
@mikroul_zora,onga bonga,25
@pirat_kaczka,"a lightbulb shooting lasers out of european type electrical outlet, being racist to toast bread and american type outlet",26
@pirat_kaczka,a rick roll,23
@beesbuzz321,a pumpkin boss. Pumpkin in one place but the roots and vines will damage you,30
@c4tz.101,albino bunny,27
@cominforyourtoes,add an eggplant please,28
@squidthatjiggles,cheese and ham sandwich,25
@ilmiticomozzie,a terminator shooting sushi from his mouth,31
@mortem.witch,lana del rey,23
@snapphaneboi,the knights of ni ( monty python and the holy grail),29
@_kaunis_k_,rgb hedgehog,27
@pirat_kaczka,flying spaggetti god smoking grass with koala,27
@..gx2,ballons,19
@raresh500,add a boss wolf that can summon other small wolves,27
@maybemedkit,add me into the game,20
@macheamakarl.jr,do a beatles reference. that would be cool,27
@marcellcsuka386,B I G  B A N A N A,15
@tobi87084,Frogs dancing on a ham and cheese sandwich,25
@avation_ac,a squirrel throwing peanuts at you,3
@i.heart.crying_lightning,add hearts or smth heart shaped <3,GLO
@smthng,meow ( once more ),30
@greyball1,"a cute pink cat with a bow that makes cyber cat go ( ""excited"" )",5
@pirat_kaczka,"add something random, but more random than my previous comment",30
@beesbuzz321,"add a friendly ape npc that says ""you can pet cat. cat give ape banana. cat good""",14
@bloodnite,shawg I'll do anything for you to add me into the game,29
@thatfuckerontiktok,noise from pizza tower,8
@kirysha_budanovich,Ramstein random song,29
@tobi87084,giant monocles on frogs,25
@fiianir,add a canvas that you can draw on :3,5
@tim_supreme18,a small blue cube which makes cool visual effect everytime you pass it,9
@frogvr2010,"Dwayne, The Rock, Johnson, as a Boulder",13
@0ctape,The death sound from hotline Miami,13
@fortnite_mannn69,Michael jackson as a secret boss,30
@galvim4,Add difficulties,GLO
@tylerthecreator_lover07,Add a ghost with a lantern looking for an unknown thing,24
@fridaynightfriedchicken,Add me!,5
@emeralddoggabe,add a McDonalds big mac,9
@gboii25,"A bone a table, if you push it down, sans skull pop up and plays the first few seconds of megalovania, then disappears",9
@jagijagii,add a flak gun that you can shoot airborne enemies with,28
@i_fvck_whales,maybe a light bulb referecing the sun from one shot,26
@rosario.lucisano,maybe a score board? or give the option to get some kind of point system,GLO
@doctor_zer0,can you add a hidden reference to White death i em from finland and he is my and my people idol. bionicle if I cant do the previous.,24
@waterrwaterr,add a carvan and if you run past it it opens and you can see walter and jesse,16
@lianisblack,add slime that looks like goomy from pokemon,25
@am_gud,polish store called zabka where you can get a hot dog,26
@zynkode.the.femboy,you should add the clown from him watching you,25
@burpinjo,geometry dash cheese sandwich,25
@baconsniffer32,could you please add a button that when clicked will add a video of walter white falling while a vine-boom sound effect plays,26
@pirat_kaczka,add soy sauce that is spilling green goo and throwing lamps,26
@marexists,put a chinese guy as a boss,31
@imback6112,can you add an Vietnamese traditional hat for the character to wear? I'm not stop till my comment is added,GLO
@stronglez,can you add a bird on a tree when disturbed the bird flies away,15
@rokic_li,you could add a person who pets the cat when interacting with them,26
@sumsargaming,"fireworks as celebration when u kill a ""hard"" enemy or a boss and mby make the fireworks unique for every different boss",GLO
@ghostyboi21,Hit the griddy,25
@marejcar,Garlic bread trap. Hard to avoid but not impossible,29
@i_fvck_whales,light bulbous material looks above,26
@spy_gaming310,a loaf of milk,29
@pirat_kaczka,a small vga cable identifying as display port cable and discussing it with his hairy plants imaginary friends,26
@rosario.lucisano,add a guy with grey mustache that waves at you when you end your run,30
@bora_idk,ADD IT ON IOS PLEASE!,TRA
@user3456788643,MouseATastySnack,PRO
@bora_idk,Meow,PRO
@feldob66,TikTokHelpers,PRO
@sumsargaming,stat: leafs seen -> catnip disappeared,GLO
@theraelseb,stat: locks opened,GLO
@feldob66,Flowers that shine brighter when you are near them,GLO
@user3456788643,bigger River with a small boat,1
@terragamer123,large hot air balloon,1
@squidthatjiggles,a christmas tree,11
@sumsargaming,secret monocle boss if you a note too many times,1
@holland_aviator,a passing train on a railroad,8